iter,train_loss,val_loss,lr
0,4.226332187652588,4.223162651062012,9.900990099009901e-06
250,2.390028715133667,2.4095332622528076,0.0009397114317029975
500,1.9925971031188965,2.0690205097198486,0.0006281416799501188
750,1.8054007291793823,1.9299957752227783,0.0002607455756410573
1000,1.7179492712020874,1.845855712890625,0.0001
