folder,exp_no,final_train_loss,final_val_loss,lr
output_03,15,1.5761406421661377,1.7640442848205566,0.0001
output_03,16,2.2527663707733154,2.278031111,0.0001
output_03,17,2.3163609504699707,2.3307735919952397,0.0001
output_03,18,1.9972823858261108,2.061201572418213,0.0001
output_03,19,2.109043598175049,2.1475179195404053,0.0001
output_03,20,2.105949640274048,2.153564453,0.0001
output_03,21,2.207712411880493,2.2390077114105225,0.0001
output_03,22,1.8007843494415283,1.9297599792480469,0.0001
output_03,23,1.9521126747131348,2.035853385925293,0.0001
output_03,24,1.9562430381774905,2.036246061325073,0.0001
output_03,25,2.1057581901550293,2.1572999954223637,0.0001
output_03,26,1.6427093744277954,1.7972002029418943,0.0001
output_03,27,1.7530361413955688,1.8822157382965088,0.0001
output_03,28,1.7437875270843506,1.8672584295272827,0.0001
output_03,29,1.8939945697784424,1.986043691635132,0.0001
output_03,30,1.4717696905136108,1.6695071458816528,0.0001
output_03,31,1.562882661819458,1.754597783088684,0.0001
outputs_04,0,2.233805894851685,2.247993469238281,0.0001
outputs_04,1,2.289057255,2.2959401607513428,0.0001
outputs_04,2,1.9592351913452148,2.025160312652588,0.0001
outputs_04,3,2.081752300262451,2.126749277114868,0.0001
outputs_04,4,2.064125299453736,2.1089742183685303,0.0001
outputs_04,5,2.160369873046875,2.1878020763397217,0.0001
outputs_04,6,1.7507411241531372,1.8737350702285769,0.0001
outputs_04,7,1.8805254697799685,1.972564697265625,0.0001
outputs_04,8,1.908450722694397,2.0105669498443604,0.0001
outputs_04,9,2.058598756790161,2.128812313079834,0.0001
outputs_04,10,1.6482291221618652,1.8119903802871704,0.0001
outputs_04,11,1.7569013833999634,1.8884365558624268,0.0001
outputs_04,12,1.7179492712020874,1.845855712890625,0.0001
outputs_04,13,1.838476657867432,1.941974163,0.0001
outputs_04,14,1.4760501384735107,1.656497836112976,0.0001
outputs_04,15,1.5675309896469116,1.7400221824645996,0.0001
outputs_04,16,2.223850011825561,2.239473342895508,0.0001
outputs_04,17,2.284437417984009,2.2929482460021973,0.0001
outputs_04,18,1.9425361156463623,2.018688201904297,0.0001
outputs_04,19,2.047502994537353,2.0944745540618896,0.0001
outputs_04,20,2.04630971,2.0971662998199463,0.0001
outputs_04,21,2.152482032775879,2.1843435764312744,0.0001
outputs_04,22,1.7298129796981812,1.864253520965576,0.0001
outputs_04,23,1.8555762767791748,1.9549843072891235,0.0001
outputs_04,24,1.9713683128356931,2.060725450515747,0.0001
outputs_04,25,2.113696336746216,2.172255516052246,0.0001
outputs_04,26,1.646704077720642,1.8029108047485352,0.0001
outputs_04,27,1.7583030462265017,1.8917744159698489,0.0001
outputs_04,28,1.7374316453933716,1.8630974292755127,0.0001
outputs_04,29,1.8986272811889648,1.9952707290649412,0.0001
outputs_04,30,1.4618817567825315,1.646789551,0.0001
outputs_04,31,1.566023349761963,1.7358053922653198,0.0001
