iter,train_loss,val_loss,lr
0,4.183174133300781,4.179990768432617,9.900990099009901e-06
250,2.470193386077881,2.461599588394165,0.0009862301196726987
500,2.3707046508789062,2.3827571868896484,0.0009051132292283772
750,2.238490343093872,2.262241840362549,0.0007641763268666832
1000,2.1401355266571045,2.1871538162231445,0.0005871607054625496
1250,2.091263771057129,2.1324074268341064,0.00040388523885789244
1500,2.023111343383789,2.086574077606201,0.0002452232927684166
1750,1.9870102405548096,2.057169198989868,0.00013790200300522413
2000,1.9651970863342285,2.051968812942505,0.0001
