iter,train_loss,val_loss,lr
0,4.1933979988098145,4.189444541931152,9.900990099009901e-06
250,2.493926763534546,2.518040657043457,0.0009862301196726987
500,2.413109064102173,2.4271926879882812,0.0009051132292283772
750,2.2726964950561523,2.295797824859619,0.0007641763268666832
1000,2.180595874786377,2.200390100479126,0.0005871607054625496
1250,2.081953763961792,2.123115301132202,0.00040388523885789244
1500,2.0212085247039795,2.0693860054016113,0.0002452232927684166
1750,1.9815281629562378,2.038538932800293,0.00013790200300522413
2000,1.9592351913452148,2.025160312652588,0.0001
