iter,train_loss,val_loss,lr
0,4.284736156463623,4.279505729675293,9.900990099009901e-06
250,2.5000522136688232,2.4985790252685547,0.0009862301196726987
500,2.368588924407959,2.386690616607666,0.0009051132292283772
750,2.200413465499878,2.2045669555664062,0.0007641763268666832
1000,2.0649490356445312,2.123922348022461,0.0005871607054625496
1250,1.9794213771820068,2.058244228363037,0.00040388523885789244
1500,1.9070461988449097,1.9980714321136475,0.0002452232927684166
1750,1.8614681959152222,1.9553923606872559,0.00013790200300522413
2000,1.843156337738037,1.936174750328064,0.0001
