iter,train_loss,val_loss,lr
0,4.225969314575195,4.22304630279541,9.900990099009901e-06
250,2.4713637828826904,2.50286602973938,0.0009862301196726987
500,2.2995150089263916,2.3341779708862305,0.0009051132292283772
750,2.0577001571655273,2.1106107234954834,0.0007641763268666832
1000,1.8982038497924805,2.0192291736602783,0.0005871607054625496
1250,1.79597806930542,1.9243441820144653,0.00040388523885789244
1500,1.7163903713226318,1.8674767017364502,0.0002452232927684166
1750,1.6736620664596558,1.82682466506958,0.00013790200300522413
2000,1.646704077720642,1.8029108047485352,0.0001
