iter,train_loss,val_loss,lr
0,4.183213233947754,4.180046558380127,9.900990099009901e-06
250,2.4522712230682373,2.446629524230957,0.0009862301196726987
500,2.295882225036621,2.319305419921875,0.0009051132292283772
750,2.135122776031494,2.1694023609161377,0.0007641763268666832
1000,2.008230209350586,2.076704502105713,0.0005871607054625496
1250,1.939687967300415,2.0160703659057617,0.00040388523885789244
1500,1.865289330482483,1.9618620872497559,0.0002452232927684166
1750,1.828967571258545,1.9356026649475098,0.00013790200300522413
2000,1.8007843494415283,1.9297599792480469,0.0001
