iter,train_loss,val_loss,lr
0,4.187191009521484,4.182331085205078,9.900990099009901e-06
250,2.5253374576568604,2.511474847793579,0.0009862301196726987
500,2.453528642654419,2.451155185699463,0.0009051132292283772
750,2.360060930252075,2.371185064315796,0.0007641763268666832
1000,2.279937505722046,2.28737211227417,0.0005871607054625496
1250,2.226051092147827,2.228492021560669,0.00040388523885789244
1500,2.174319267272949,2.200782537460327,0.0002452232927684166
1750,2.1418442726135254,2.1710219383239746,0.00013790200300522413
2000,2.123414993286133,2.1399755477905273,0.0001
